term,value
m1,0.013904489
m2,0.3525943
m3,-0.43817133
m4,-0.012658862
m5,-0.04967633
m6,0.11076237
m7,-0.035535358
m8,-0.13995701
m9,0.03707574
m1.2,0.0025243834
m2.3,-0.3666638
m3.4,-0.053098872
m4.5,-0.07284188
m5.6,-0.035046894
m6.7,-0.086556286
m7.8,0.028276078
m8.9,-0.07182275
m1.2.3,-0.016428221
m2.3.4,0.015338119
m3.4.5,0.1607163
m4.5.6,-0.032412596
m5.6.7,-0.10300755
m6.7.8,0.057676263
m7.8.9,0.019902937
m1.2.3.4,-2.4028122e-06
m2.3.4.5,0.005589798
m3.4.5.6,-0.051510267
m4.5.6.7,0.3472374
m5.6.7.8,-0.077235945
m6.7.8.9,0.046065476
m1.2.3.4.5,7.8603625e-07
m2.3.4.5.6,6.441027e-06
m3.4.5.6.7,-0.21001491
m4.5.6.7.8,-0.20113751
m5.6.7.8.9,0.028831163
m1.2.3.4.5.6,-4.0084124e-06
m2.3.4.5.6.7,-6.2316656e-05
m3.4.5.6.7.8,0.35084558
m4.5.6.7.8.9,-0.08152674
m1.2.3.4.5.6.7,7.2196126e-06
m2.3.4.5.6.7.8,8.08239e-05
m3.4.5.6.7.8.9,0.021440344
m1.2.3.4.5.6.7.8,-1.3150275e-05
m2.3.4.5.6.7.8.9,2.3733824e-05
m1.2.3.4.5.6.7.8.9,-1.1660159e-06
