term,value
m1,-0.0028887328
m2,-0.0052315295
m3,0.013435988
m4,-0.002067482
m5,-0.0048976047
m6,-0.0067581683
m7,-0.014899803
m1.2,-0.04819474
m2.3,-0.013926422
m3.4,-0.013268869
m4.5,-0.004075587
m5.6,-0.006431233
m6.7,-0.015671203
m1.2.3,-0.092320874
m2.3.4,-0.009548446
m3.4.5,-0.00043348968
m4.5.6,-0.007314289
m5.6.7,-0.013281228
m1.2.3.4,-0.14373748
m2.3.4.5,-0.00015685335
m3.4.5.6,-0.0112372115
m4.5.6.7,-0.020337153
m1.2.3.4.5,-0.020619787
m2.3.4.5.6,-0.013659092
m3.4.5.6.7,-0.03395267
m1.2.3.4.5.6,-0.17713791
m2.3.4.5.6.7,-0.024298988
m1.2.3.4.5.6.7,-0.13568272
