term,value
m1,-0.07731393
m2,-0.0352071
m3,-0.042654432
m4,-0.10332398
m5,-0.06385248
m6,-0.059178777
m7,-0.09411762
m8,-0.057141505
m9,-0.10531321
m10,-0.1270263
m11,-0.10477507
m12,-0.056287363
m13,0.00386771
m14,-0.2297252
m15,0.035330422
m16,-0.0039771907
m17,-0.04306458
m18,-0.026301399
m19,-0.041703746
m20,-0.39893538
m21,-0.119545445
m22,-0.0193498
m23,-0.16271874
m24,-0.18700294
m25,-0.1112923
m26,-0.139081
m27,-0.06821138
m28,-0.0024236045
m29,-0.09837134
m30,-0.04887212
m1.2,0.06623279
m2.3,-0.030896194
m3.4,0.028726444
m4.5,0.054938704
m5.6,-0.02366047
m6.7,0.031928997
m7.8,0.067060314
m8.9,0.10056518
m9.10,0.073868185
m10.11,0.06155312
m11.12,0.04048541
m12.13,-0.069691114
m13.14,-0.005083978
m14.15,0.03515313
m15.16,-0.047407426
m16.17,0.06753046
m17.18,0.0542078
m18.19,-0.10039656
m19.20,0.12723905
m20.21,0.20084003
m21.22,-0.026630685
m22.23,0.061173398
m23.24,0.15566345
m24.25,0.02248007
m25.26,0.035055354
m26.27,0.05646222
m27.28,0.049632594
m28.29,-0.02114278
m29.30,0.052236043
m1.2.3,0.009725496
m2.3.4,0.05811332
m3.4.5,-0.021710748
m4.5.6,0.06188593
m5.6.7,0.038607366
m6.7.8,0.060363088
m7.8.9,-0.075828455
m8.9.10,0.015939303
m9.10.11,0.043754555
m10.11.12,0.014203038
m11.12.13,-0.04704819
m12.13.14,0.15740462
m13.14.15,-0.01759902
m14.15.16,0.15516791
m15.16.17,-0.019005237
m16.17.18,-0.047389794
m17.18.19,0.055200648
m18.19.20,0.13400686
m19.20.21,-0.03950631
m20.21.22,0.09231196
m21.22.23,0.015373945
m22.23.24,-0.081729755
m23.24.25,0.028445825
m24.25.26,0.18586147
m25.26.27,0.092172265
m26.27.28,-0.06685417
m27.28.29,0.09103283
m28.29.30,0.051143907
m1.2.3.4,0.032934222
m2.3.4.5,0.11651717
m3.4.5.6,0.011905589
m4.5.6.7,0.08994532
m5.6.7.8,-0.03650537
m6.7.8.9,-0.032164447
m7.8.9.10,0.05159464
m8.9.10.11,-0.020289825
m9.10.11.12,0.0014884733
m10.11.12.13,0.11532049
m11.12.13.14,0.004861325
m12.13.14.15,-0.059776634
m13.14.15.16,0.019297805
m14.15.16.17,-0.022212401
m15.16.17.18,-0.024960142
m16.17.18.19,0.0104004815
m17.18.19.20,0.033762425
m18.19.20.21,0.018634096
m19.20.21.22,-0.11905862
m20.21.22.23,0.048794515
m21.22.23.24,0.12973489
m22.23.24.25,0.05312892
m23.24.25.26,-0.017181076
m24.25.26.27,-0.08909762
m25.26.27.28,-0.02423268
m26.27.28.29,0.10469598
m27.28.29.30,-0.09137062
m1.2.3.4.5,-0.107806176
m2.3.4.5.6,-0.11779474
m3.4.5.6.7,0.025682878
m4.5.6.7.8,-0.14375834
m5.6.7.8.9,0.10578981
m6.7.8.9.10,0.05435431
m7.8.9.10.11,-0.011495452
m8.9.10.11.12,-0.030192435
m9.10.11.12.13,-0.09373922
m10.11.12.13.14,-0.031222641
m11.12.13.14.15,0.1159909
m12.13.14.15.16,0.11982631
m13.14.15.16.17,-0.050959922
m14.15.16.17.18,0.02928989
m15.16.17.18.19,-0.010991026
m16.17.18.19.20,-0.024148026
m17.18.19.20.21,-0.026702963
m18.19.20.21.22,0.06947699
m19.20.21.22.23,0.018371634
m20.21.22.23.24,-0.06312372
m21.22.23.24.25,-0.11564158
m22.23.24.25.26,-0.10760198
m23.24.25.26.27,-0.019247279
m24.25.26.27.28,4.2643398e-05
m25.26.27.28.29,-0.11775841
m26.27.28.29.30,-0.029828724
m1.2.3.4.5.6,0.10026352
m2.3.4.5.6.7,-0.05540385
m3.4.5.6.7.8,0.1420114
m4.5.6.7.8.9,0.05728866
m5.6.7.8.9.10,-0.05872029
m6.7.8.9.10.11,-0.10916374
m7.8.9.10.11.12,0.006351781
m8.9.10.11.12.13,0.022584239
m9.10.11.12.13.14,0.18762076
m10.11.12.13.14.15,-0.06615553
m11.12.13.14.15.16,-0.17605488
m12.13.14.15.16.17,-0.17694882
m13.14.15.16.17.18,0.05458044
m14.15.16.17.18.19,-0.019828921
m15.16.17.18.19.20,-0.012538705
m16.17.18.19.20.21,-0.002226729
m17.18.19.20.21.22,-0.14346339
m18.19.20.21.22.23,-0.05657397
m19.20.21.22.23.24,0.10534101
m20.21.22.23.24.25,-0.0030502118
m21.22.23.24.25.26,0.08517875
m22.23.24.25.26.27,0.14158972
m23.24.25.26.27.28,0.010872416
m24.25.26.27.28.29,0.02400096
m25.26.27.28.29.30,0.0826176
m1.2.3.4.5.6.7,-0.060284086
m2.3.4.5.6.7.8,-0.1008703
m3.4.5.6.7.8.9,-0.17940874
m4.5.6.7.8.9.10,-0.07151301
m5.6.7.8.9.10.11,0.11285661
m6.7.8.9.10.11.12,0.08238873
m7.8.9.10.11.12.13,0.11346079
m8.9.10.11.12.13.14,-0.10178669
m9.10.11.12.13.14.15,-0.003766209
m10.11.12.13.14.15.16,-0.022887077
m11.12.13.14.15.16.17,0.21159261
m12.13.14.15.16.17.18,0.03041602
