term,value
m1,-0.009900934
m2,-0.048311368
m3,-0.045537554
m4,0.15931767
m5,-0.045447446
m6,-0.065064915
m7,-0.19051532
m8,-0.007998496
m9,-0.005229257
m10,0.00052764826
m11,0.057353206
m12,0.055169206
m13,0.04288265
m14,0.09141782
m15,-0.016770083
m16,0.0062446147
m17,0.008194283
m18,-0.010079198
m19,-0.11396795
m20,-0.083836615
m21,0.00016876683
m22,0.11432857
m23,0.003975548
m24,-0.09761858
m25,-0.04268167
m26,0.007950693
m27,0.092655405
m28,0.04830467
m29,-0.0020867363
m30,0.00020823628
m31,0.008355307
m32,-0.022069601
m33,0.04730973
m34,0.089104995
m35,0.0149421785
m36,-0.015852883
m37,-0.044367462
m38,-0.06510621
m39,-0.024622377
m40,-0.034804568
m41,0.055225875
m42,0.052239835
m43,-0.111093566
m44,-0.030276386
m45,-0.09369076
m46,-0.06916428
m47,-0.033325527
m48,-0.0081600025
m49,-0.050422594
m1.2,0.02220016
m2.3,0.053451642
m3.4,0.13585724
m4.5,-0.8289951
m5.6,0.08475327
m6.7,0.26439348
m7.8,-0.3840887
m8.9,0.34730697
m9.10,0.24833262
m10.11,0.19138221
m11.12,0.56145996
m12.13,-0.39343706
m13.14,-0.14872321
m14.15,0.013830222
m15.16,-0.09035449
m16.17,0.23055622
m17.18,-0.65942776
m18.19,-0.25963062
m19.20,0.13741723
m20.21,-0.034733027
m21.22,-0.032912776
m22.23,0.0023312382
m23.24,0.16781297
m24.25,-0.3445382
m25.26,0.08102681
m26.27,-0.13319248
m27.28,-0.29111204
m28.29,-0.34130177
m29.30,-0.63545114
m30.31,0.5003958
m31.32,-0.33968744
m32.33,0.0109876115
m33.34,-0.09548435
m34.35,-0.21709234
m35.36,0.0019495711
m36.37,-0.42456424
m37.38,-0.19980058
m38.39,-0.5383167
m39.40,0.7396398
m40.41,0.49115378
m41.42,0.049099557
m42.43,1.1976008
m43.44,-0.4382011
m44.45,0.2888198
m45.46,-0.09278733
m46.47,0.211921
m47.48,-0.1837205
m48.49,-0.92623436
m1.2.3,0.060812935
m2.3.4,-0.07613632
m3.4.5,0.8314452
m4.5.6,-0.29992044
m5.6.7,0.04269273
m6.7.8,0.33795694
m7.8.9,0.37312737
m8.9.10,-0.164525
m9.10.11,-0.48691326
m10.11.12,-0.19937591
m11.12.13,-0.25743884
m12.13.14,0.16383892
m13.14.15,0.12589945
m14.15.16,0.13726899
m15.16.17,0.38412887
m16.17.18,0.23621105
m17.18.19,0.6126416
m18.19.20,0.013358334
m19.20.21,-0.040373042
m20.21.22,-0.18030147
m21.22.23,0.0023273053
m22.23.24,-0.25026026
m23.24.25,0.28439778
m24.25.26,0.3259646
m25.26.27,0.3011586
m26.27.28,-0.2764556
m27.28.29,0.3455938
m28.29.30,0.309661
m29.30.31,0.0655883
m30.31.32,-0.15648879
m31.32.33,-0.42534277
m32.33.34,-0.04306446
m33.34.35,0.15339822
m34.35.36,-0.022559792
m35.36.37,0.20825213
m36.37.38,0.17579459
m37.38.39,-0.037791677
m38.39.40,-0.13731651
m39.40.41,-0.23679891
m40.41.42,-0.33245498
m41.42.43,-0.75162566
m42.43.44,0.15411499
m43.44.45,-0.34167075
m44.45.46,-0.05393564
m45.46.47,-0.0053855157
m46.47.48,-0.35386878
m47.48.49,0.37481207
m1.2.3.4,0.05078051
m2.3.4.5,0.3475004
m3.4.5.6,-0.033296555
m4.5.6.7,0.0016115606
m5.6.7.8,0.5181206
m6.7.8.9,-0.49527934
m7.8.9.10,-0.08873123
m8.9.10.11,-0.19567889
m9.10.11.12,-0.428977
m10.11.12.13,0.3250738
m11.12.13.14,-0.22934633
m12.13.14.15,0.19924684
m13.14.15.16,-0.013055555
m14.15.16.17,-0.096536554
m15.16.17.18,0.25530234
m16.17.18.19,-0.09182375
m17.18.19.20,-0.100882135
m18.19.20.21,0.1947417
m19.20.21.22,0.07508277
m20.21.22.23,0.0802104
m21.22.23.24,0.12292927
m22.23.24.25,-0.17917971
m23.24.25.26,-0.18214096
m24.25.26.27,0.35625625
m25.26.27.28,0.07880067
m26.27.28.29,-0.24565166
m27.28.29.30,0.5688327
m28.29.30.31,-0.11673091
m29.30.31.32,0.35392663
m30.31.32.33,0.2278529
m31.32.33.34,0.14503536
m32.33.34.35,0.26138163
m33.34.35.36,-0.21831816
m34.35.36.37,0.08908014
m35.36.37.38,0.12507704
m36.37.38.39,0.4952028
m37.38.39.40,-0.36552238
m38.39.40.41,0.1892105
m39.40.41.42,-0.15423603
m40.41.42.43,-0.044758134
m41.42.43.44,0.35482135
m42.43.44.45,0.14605676
m43.44.45.46,0.03400416
m44.45.46.47,-0.27536836
m45.46.47.48,-0.07065894
m46.47.48.49,-0.17976326
m1.2.3.4.5,0.023203572
m2.3.4.5.6,-0.10760259
m3.4.5.6.7,0.23905152
m4.5.6.7.8,-0.7572185
m5.6.7.8.9,-0.26357043
m6.7.8.9.10,-0.08081137
m7.8.9.10.11,-0.19915995
m8.9.10.11.12,-0.13773988
m9.10.11.12.13,-0.07468766
m10.11.12.13.14,0.2843011
