term,value
m1,0.008104656
m2,0.054859992
m3,0.009366775
m4,0.02563109
m5,0.018245142
m6,-0.019112984
m7,0.045956165
m8,-0.019609766
m9,-0.022038458
m10,-0.0027855663
m11,0.0036981953
m12,0.04522211
m13,0.025724746
m1.2,-0.015517529
m2.3,0.0039232057
m3.4,-0.027153444
m4.5,-0.016185114
m5.6,0.023130905
m6.7,-0.0169297
m7.8,0.016097937
m8.9,0.030475385
m9.10,-0.029292334
m10.11,0.014092474
m11.12,-0.020269943
m12.13,-0.010183794
m1.2.3,-0.018689327
m2.3.4,0.01752535
m3.4.5,0.011557884
m4.5.6,-0.008094246
m5.6.7,-0.009530239
m6.7.8,0.0047207363
m7.8.9,-0.03799073
m8.9.10,-0.0014051441
m9.10.11,0.04987021
m10.11.12,-0.00045267493
m11.12.13,-0.006124934
m1.2.3.4,0.009059502
m2.3.4.5,-0.061230585
m3.4.5.6,0.031884134
m4.5.6.7,0.0073016183
m5.6.7.8,8.296627
m6.7.8.9,0.033990078
m7.8.9.10,-0.013294285
m8.9.10.11,-0.037372433
m9.10.11.12,-0.012498718
m10.11.12.13,-0.011935277
m1.2.3.4.5,0.03238348
m2.3.4.5.6,-0.006192522
m3.4.5.6.7,5.8957763
m4.5.6.7.8,-8.336627
m5.6.7.8.9,-8.342326
m6.7.8.9.10,0.02403041
m7.8.9.10.11,0.051170364
m8.9.10.11.12,0.028931912
m9.10.11.12.13,0.0062411306
m1.2.3.4.5.6,-0.01389409
m2.3.4.5.6.7,-5.923805
m3.4.5.6.7.8,-5.8939543
m4.5.6.7.8.9,8.328888
m5.6.7.8.9.10,0.019585365
m6.7.8.9.10.11,-0.071041636
m7.8.9.10.11.12,-0.079630665
m8.9.10.11.12.13,0.0081837615
m1.2.3.4.5.6.7,-0.0062433816
m2.3.4.5.6.7.8,5.61698
m3.4.5.6.7.8.9,-21.555424
m4.5.6.7.8.9.10,0.036371212
m5.6.7.8.9.10.11,0.0340722
m6.7.8.9.10.11.12,20.516632
m7.8.9.10.11.12.13,0.008457391
m1.2.3.4.5.6.7.8,0.31161836
m2.3.4.5.6.7.8.9,21.87136
m3.4.5.6.7.8.9.10,-30.021091
m4.5.6.7.8.9.10.11,13.713434
m5.6.7.8.9.10.11.12,-20.476658
m6.7.8.9.10.11.12.13,-20.49091
m1.2.3.4.5.6.7.8.9,-0.30070218
m2.3.4.5.6.7.8.9.10,3.5035987
m3.4.5.6.7.8.9.10.11,-31.178032
m4.5.6.7.8.9.10.11.12,-13.75613
m5.6.7.8.9.10.11.12.13,20.468782
m1.2.3.4.5.6.7.8.9.10,26.455606
m2.3.4.5.6.7.8.9.10.11,-8.114226
m3.4.5.6.7.8.9.10.11.12,52.037754
m4.5.6.7.8.9.10.11.12.13,0.021477759
m1.2.3.4.5.6.7.8.9.10.11,25.582216
m2.3.4.5.6.7.8.9.10.11.12,8.23326
m3.4.5.6.7.8.9.10.11.12.13,30.708958
m1.2.3.4.5.6.7.8.9.10.11.12,-46.50319
m2.3.4.5.6.7.8.9.10.11.12.13,-25.187847
m1.2.3.4.5.6.7.8.9.10.11.12.13,-5.5408273
